,date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
142,03/01/2020 18:15,1.30855,1.30768,1.3085799999999999,1.30767,1.3086799999999998,1.30782,1.3087,1.30779,3635
143,03/01/2020 18:30,1.30768,1.3076299999999998,1.30784,1.30722,1.30782,1.30779,1.30798,1.30736,5440
144,03/01/2020 18:45,1.3076299999999998,1.3082200000000002,1.3083799999999999,1.30754,1.30779,1.3088600000000001,1.3088799999999998,1.30766,3410
145,03/01/2020 19:00,1.3082200000000002,1.30826,1.30847,1.3073700000000001,1.3088600000000001,1.3084200000000001,1.3089899999999999,1.30751,6496
146,03/01/2020 19:15,1.30826,1.30784,1.30836,1.3078100000000001,1.3084200000000001,1.30798,1.30849,1.30795,3859
147,03/01/2020 19:30,1.30784,1.30762,1.30793,1.30756,1.30798,1.3078,1.30807,1.3077,3877
148,03/01/2020 19:45,1.30762,1.3078,1.30793,1.30744,1.3078,1.3079399999999999,1.30809,1.3075700000000001,3285
149,03/01/2020 20:00,1.3078,1.3074299999999999,1.30787,1.30742,1.3079399999999999,1.3075700000000001,1.30799,1.30756,1697
150,03/01/2020 20:15,1.3074299999999999,1.30721,1.30751,1.3072,1.3075700000000001,1.30734,1.30767,1.3073299999999999,1748
151,03/01/2020 20:30,1.30721,1.3075,1.30755,1.30721,1.30734,1.30765,1.30768,1.30735,1340
152,03/01/2020 20:45,1.3075,1.30728,1.30755,1.30711,1.30765,1.3074299999999999,1.30766,1.3072700000000002,1649
153,03/01/2020 21:00,1.30728,1.30729,1.30732,1.30701,1.3074299999999999,1.30749,1.30749,1.3071700000000002,1125
154,03/01/2020 21:15,1.30729,1.30742,1.30744,1.30726,1.30749,1.30759,1.30762,1.3074,571
155,03/01/2020 21:30,1.30742,1.30732,1.30746,1.30721,1.30759,1.3075,1.30764,1.30739,648
156,03/01/2020 21:45,1.30732,1.30764,1.30782,1.30729,1.3075,1.30818,1.30818,1.30748,1465
